🇨🇳｜央视频道,#genre#
CCTV12,http://116.21.120.40:4433/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://116.21.120.40:4433/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://116.21.120.40:4433/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://116.21.120.40:4433/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://116.21.120.40:4433/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://116.21.120.40:4433/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://116.21.120.40:4433/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://116.21.120.40:4433/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://116.21.120.40:4433/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://116.21.120.40:4433/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://116.21.120.40:4433/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://116.21.120.40:4433/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://116.21.120.40:4433/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://116.21.120.40:4433/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
##


🇨🇳｜卫视频道,#genre#
广东卫视,http://113.74.172.130:4000/udp/239.77.0.166:5146
广东卫视,http://113.74.172.130:4000/udp/239.77.1.19:5146
广东卫视,http://113.74.172.130:4000/udp/239.77.1.152:5146
广东卫视,http://113.74.172.130:4000/udp/239.77.0.84:5146
广东卫视,http://113.74.172.130:4000/udp/239.77.0.2:5146
广东卫视,http://113.74.172.130:4000/udp/239.77.1.2:5146
